,0,1,2,3,4,5,6
0,CJCGV,21700,20100,-1600,-7.37,1258791,26222727700
1,CJ4우전환,59200,58700,-500,-0.84,36067,2127207000
2,CJ제일제당우,161000,157500,-3500,-2.17,34886,5564254000
3,FF,100000,93000,-7000,-7.0,270222,26719658700
4,HDC아이콘트롤스,9570,10200,630,6.58,2169185,22201254500
5,KTG,83000,83300,300,0.36,2093438,176261113800
6,LG상사,15400,15600,200,1.3,1020631,15762737600
7,LG하우시스,67000,64400,-2600,-3.88,189013,12596451000
8,LG하우시스우,28000,27050,-950,-3.39,34286,967569050
9,LSELECTRIC,54900,51500,-3400,-6.19,818042,44095703600
10,STC,15300,14900,-400,-2.61,67298,1005180600
11,ST모티브,51000,51700,700,1.37,278089,14298815150
12,ST중공업,5230,5310,80,1.53,478501,2523024100
13,ST홀딩스,14250,14050,-200,-1.4,16730,237184050
14,SBS미디어홀딩스,1700,1665,-35,-2.06,315024,529428340
15,SG충방,1920,1790,-130,-6.77,2698610,5039922920
16,YGPLUS,5440,4410,-1030,-18.93,14320744,68340368990
17,금호산업,7060,7100,40,0.57,2008793,14836614530
18,금호산업우,33500,32500,-1000,-2.99,9853,329312900
19,기아차,46700,52900,6200,13.28,22673319,1097053258850
20,대동공업,6920,6510,-410,-5.92,4981724,35836908650
21,대림BCo,4995,5300,305,6.11,178042,916288930
22,대림건설,24450,23900,-550,-2.25,110828,2658398750
23,대림산업,80800,81300,500,0.62,1815463,148124807200
24,대림산업우,43450,43000,-450,-1.04,121711,5300724450
25,동성코퍼레이션,4090,3900,-190,-4.65,642847,2602759820
26,동성화학,15850,15450,-400,-2.52,85977,1338312850
27,동양물산,1440,1335,-105,-7.29,36425084,50782011190
28,동원FB,169000,167500,-1500,-0.89,18802,3174937000
29,두산솔루스,35100,31550,-3550,-10.11,934881,30853699000
30,두산솔루스1우,16800,15400,-1400,-8.33,250932,4024217950
31,두산솔루스2우B,34300,31450,-2850,-8.31,43238,1428452800
32,두산인프라코어,8570,8530,-40,-0.47,22711719,199944329310
33,디피씨,10400,9710,-690,-6.63,11625148,118883422030
34,무림PP,3175,3195,20,0.63,917694,2974460960
35,미래에셋대우,8540,8450,-90,-1.05,9953850,85845309580
36,미래에셋대우2우B,4480,4545,65,1.45,2202900,10006207775
37,미래에셋대우우,5030,5030,0,0.0,407080,2065141240
38,부산가스,50700,49850,-850,-1.68,29073,1455775450
39,비티원,4570,5940,1370,29.98,19955561,107959627295
40,빅히트,189000,162500,-26500,-14.02,7676238,1348608151000
41,삼광글라스,35800,38950,3150,8.8,225709,8628989300
42,선창산업,4750,4470,-280,-5.89,191699,908920455
43,세원셀론텍,2835,2700,-135,-4.76,1894451,5294430090
44,세이브존IC,3055,2800,-255,-8.35,1105406,3201476405
45,세화아이엠씨,879,770,-109,-12.4,5062055,4062347827
46,신세계IC,136500,120000,-16500,-12.09,72327,9295988000
47,신화실업,20650,19950,-700,-3.39,519584,11727343750
48,쌍용양회,5630,5620,-10,-0.18,4109272,23268984700
49,쌍용양회우,51100,30250,-20850,-40.8,1776957,78207620100
50,아모레G3우전환,33600,32700,-900,-2.68,63499,2087080050
51,아주캐피탈,12650,12300,-350,-2.77,3058766,41980384900
52,애경유화,7330,7540,210,2.86,1577483,12020242140
53,에이프로젠KIC,1870,1715,-155,-8.29,13758029,24473453000
54,엔케이물산,393,397,4,1.02,5828124,2252462783
55,우리들제약,14200,12800,-1400,-9.86,3092959,42078900350
56,우성사료,3100,3025,-75,-2.42,1056768,3251697940
57,유양디앤유,1220,1220,0,0.0,0,0
58,케이씨씨글라스,29450,29750,300,1.02,215869,6338137650
59,코리아오토글라스,14200,14200,0,0.0,699223,10036247500
60,코오롱머티리얼,3680,3285,-395,-10.73,1860158,6430550265
61,키위미디어그룹,600,600,0,0.0,0,0
62,폴루스바이오팜,1225,1225,0,0.0,0,0
63,필룩스,3260,3000,-260,-7.98,4029861,12869636305
64,하이골드12호,2090,2120,30,1.44,63874,133581660
65,한국테크놀로지그룹,16400,15750,-650,-3.96,4062922,67738045800
66,한국특수형강,1860,1735,-125,-6.72,862854,1516104210
67,한진중공업,8300,7190,-1110,-13.37,1259503,9905464910
68,현대상사,14350,14100,-250,-1.74,263356,3771517750
69,현대에이치씨엔,3310,3185,-125,-3.78,891839,2906356090
